id,Event URL,Beedier Event ID
157,https://www.eventbrite.co.uk/e/netwalking-ditchlings-creative-past-and-scenic-paths-tickets-1311798297019?aff=ebdssbdestsearch,13165
158,https://www.eventbrite.co.uk/e/mind-the-gap-tags-agm-symposium-party-tickets-1332951556989?aff=ebdssbdestsearch,13145
159,https://www.eventbrite.co.uk/e/council-housing-tickets-1345162038869?aff=ebdssbdestsearch,13167
160,https://www.eventbrite.co.uk/e/june-london-adtech-networking-reception-at-the-gherkin-make-adtech-links-tickets-1317145681189?aff=ebdssbdestsearch,13168
161,https://www.eventbrite.co.uk/e/city-of-london-hedge-funds-hnwi-networking-drinks-reception-at-the-gherkin-tickets-1292474298419?aff=ebdssbdestsearch,13172
162,https://www.eventbrite.co.uk/e/june-coder-programmers-networking-drinks-at-the-gherkin-tickets-1317137276049?aff=ebdssbdestsearch,13170
163,https://www.eventbrite.co.uk/e/regtechs-london-june-networking-reception-make-connections-at-the-gherkin-tickets-1316546890189?aff=ebdssbdestsearch,13181
164,https://www.eventbrite.co.uk/e/london-fintechs-june-2025-networking-make-connections-at-the-gherkin-tickets-1277472266939?aff=ebdssbdestsearch,13182
166,https://www.eventbrite.co.uk/e/city-of-london-hnwi-sector-june-networking-reception-at-the-gherkin-tickets-1276240241919?aff=ebdssbdestsearch,13184
167,https://www.eventbrite.co.uk/e/financial-london-walk-tickets-1223432111379?aff=ebdssbdestsearch,13164
168,https://www.eventbrite.co.uk/e/june-fintech-startup-networking-drinks-reception-at-the-famous-gherkin-tickets-1277479097369?aff=ebdssbdestsearch,13176
169,https://www.eventbrite.co.uk/e/private-equity-industry-city-of-london-networking-reception-at-the-gherkin-tickets-1276472386269?aff=ebdssbdestsearch,13139
170,https://www.eventbrite.co.uk/e/london-computing-connections-june-it-business-networking-tickets-1317133534859?aff=ebdssbdestsearch,13171
171,https://www.eventbrite.co.uk/e/london-fund-industry-june-fintech-sector-networking-at-the-gherkin-tickets-1317160294899?aff=ebdssbdestsearch,13193
172,https://www.eventbrite.co.uk/e/london-private-client-june-city-of-london-networking-at-the-gherkin-tickets-1276234073469?aff=ebdssbdestsearch,13151
173,https://www.eventbrite.co.uk/e/manchester-netwalk-ancoats-tickets-1332814075779?aff=ebdssbdestsearch,13160
174,https://www.eventbrite.co.uk/e/june-tax-networking-city-of-london-drinks-reception-at-the-gherkin-tickets-1316372408309?aff=ebdssbdestsearch,13185
175,https://www.eventbrite.co.uk/e/june-mayfair-property-dev-construction-sector-networking-breakfast-tickets-1276203130919?aff=ebdssbdestsearch,13144
176,https://www.eventbrite.co.uk/e/london-fund-industry-june-mayfair-real-estate-networking-breakfast-tickets-1291499613109?aff=ebdssbdestsearch,13186
177,https://www.eventbrite.co.uk/e/from-demolition-to-deconstruction-tickets-1338415138709?aff=ebdssbdestsearch,13162
179,https://www.eventbrite.co.uk/e/june-london-ecommerce-networking-at-the-gherkin-make-new-connections-tickets-1277501624749?aff=ebdssbdestsearch,13174
180,https://www.eventbrite.co.uk/e/venture-capital-tech-sector-june-city-business-networking-at-the-gherkin-tickets-1317166483409?aff=ebdssbdestsearch,13179
181,https://www.eventbrite.co.uk/e/venture-capital-hnwi-june-city-business-networking-at-the-gherkin-tickets-1292502914009?aff=ebdssbdestsearch,13180
182,https://www.eventbrite.co.uk/e/london-crypto-hnwi-industry-june-city-investor-networking-at-the-gherkin-tickets-1292461088909?aff=ebdssbdestsearch,13187
183,https://www.eventbrite.co.uk/e/london-family-office-june-capital-investments-networking-at-the-gherkin-tickets-1292481981399?aff=ebdssbdestsearch,13173
184,https://www.eventbrite.co.uk/e/london-fund-industry-june-hnwicapital-raising-networking-at-the-gherkin-tickets-1292486886069?aff=ebdssbdestsearch,13200
185,https://www.eventbrite.co.uk/e/the-k-briq-certification-celebration-scotlands-national-retrofit-centre-tickets-1344052921469?aff=ebdssbdestsearch,13183
186,https://www.eventbrite.co.uk/e/hmo-property-workshop-2025-tickets-1321687184949?aff=ebdssbdestsearch,13197
187,https://www.eventbrite.co.uk/e/design-festival-north-2025-liverpool-tickets-998420702197?aff=ebdssbdestsearch,13191
188,https://www.eventbrite.co.uk/e/maximising-your-property-investment-insights-networking-tickets-1285981849329?aff=ebdssbdestsearch,13213
190,https://www.eventbrite.co.uk/e/lae-tottenham-alumni-networking-event-2025-tickets-1298951110739?aff=ebdssbdestsearch,13196
191,https://www.eventbrite.co.uk/e/in-pursuit-of-luxury-2025-honest-luxury-19-20-june-tickets-1020604303947?aff=ebdssbdestsearch,13199
192,https://www.eventbrite.co.uk/e/cv-portfolio-workshop-with-jtp-studios-tickets-1252807995439?aff=ebdssbdestsearch,13194
193,https://www.eventbrite.co.uk/e/agency-folk-summer-gathering-june-tickets-1257070394389?aff=ebdssbdestsearch,13205
194,https://www.eventbrite.co.uk/e/the-property-entrepreneur-summit-tickets-1209996394789?aff=ebdssbdestsearch,13204
196,https://www.eventbrite.co.uk/e/roofing-trade-show-2025-tickets-1244703986129?aff=ebdssbdestsearch,13202
197,https://www.eventbrite.co.uk/e/intellectual-property-for-creatives-great-yarmouth-library-tickets-1317444615309?aff=ebdssbdestsearch,13218
198,https://www.eventbrite.co.uk/e/west-norfolk-property-group-july-meet-tickets-1333813926359?aff=ebdssbdestsearch,13214
199,https://www.eventbrite.co.uk/e/healthy-buildings-the-missing-link-for-a-sustainable-future-tickets-1234551750519?aff=ebdssbdestsearch,13189
200,https://www.eventbrite.co.uk/e/fightclub-mortar-combat-tickets-1371349215419?aff=ebdssbdestsearch,13201
201,https://www.eventbrite.co.uk/e/the-business-builder-retreat-tickets-1330740684209?aff=ebdssbdestsearch,13210
202,https://www.eventbrite.co.uk/e/why-listening-matters-tickets-1337307415479?aff=ebdssbdestsearch,13206
203,https://www.eventbrite.co.uk/e/from-voices-to-action-engagement-that-works-tickets-1291385652249?aff=ebdssbdestsearch,13190
204,https://www.eventbrite.co.uk/e/film-evening-three-words-for-forest-tickets-1318980739899?aff=ebdssbdestsearch,13220
205,https://www.eventbrite.co.uk/e/urban-designer-for-the-day-registration-1273894977169?aff=ebdssbdestsearch,13198
206,https://www.eventbrite.co.uk/e/construction-engineering-networking-event-high-rise-fire-safety-tickets-1372780055099?aff=ebdssbdestsearch,13195
208,https://www.eventbrite.co.uk/e/hereford-careers-fair-tickets-896083308297?aff=ebdssbdestsearch,13175
